Acetabularia acetabulum,Amphiroa rigida,Codium bursa,Corallina sp.,Corallinaceae,Dichtyota dicotoma,Flabellia petiolata,Halimeda tuna,Laurencia obtusa,Padina pavonica,Feltro algale,Aplysina aerophoba,Cliona sp.,Ircinia sp.,Arca noae,Gastrochaena dubia,Patella caerulea,Balanidae,Paracentrotus lividus
2,3,0,0,0,20,0,0,20,0,70,32,0,0,0,0,3,0,0
0,0,0,0,0,4,0,4,0,10,80,0,0,0,0,0,4,10,1
3,0,0,10,20,0.5,0,1,0,30,20,0,0,0,0,0,0,0,3
10,0,0,5,10,11,0,0,45,30,0,0,0,0,0,0,0,0,0
2,0,0,0,0,31,0,0,40,10,0,0,0,0,0,0,0,0,0
5,0,0,20,3,5,0,0,30,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,3,0,0,40,8,0,0,0,0,0,0,0,0,0
15,0,0,6,0,10,0,10,50,50,0,0,0,0,0,0,0,0,0
0,0,0,0,20,10,0,10,40,15,0,0,0,0,0,0,0,0,0
4,0,0,4,0,0,0,5,60,5,0,0,0,0,0,0,0,0,0
0,0,0,0,20,7,0,10,70,0,0,0,0,0,0,0,0,0,0
0,0,0,0,25,20,0,25,17,16,0,0,0,0,0,0,0,0,0
0,0,0,0,4,7,0,45,28,5,0,0,0,0,0,0,0,0,0
0,4,0,0,17,0,0,20,45,0,0,0,0,0,0,0,0,0,2
0,1,0,0,10,0,0,25,60,2.5,0,0,0,0,0,0,0,0,0
0,0,0,0,3,2,0,3,65,1.5,0,0,0,0,0,0,0,0,0
4,0,0,0,0,1.5,0,0,62,21,0,0,0,0,0,0,0,0,0
0,0,0,0,51,7,0,50,60,17,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,11,40,10,0,0,0,0,0,0,0,0,1
0,0,0,0,0,2.5,0,34,12,3,4,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,30,50,2,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,55,5,0,0,0,0,0,0,0,0,0
0,0,0,25,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,70,0,5,0,0,0,0,0,0,0,0
8,0,0,12,0,1,0,0,15,8,5,0,0,0,0,0,0,0,0
10,0,0,10,15,0,0,15,19,0,3,0,0,0,0,0,0,0,0
0,0,0,6,2,3,0,2,40,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,60,5,15,0,0,0,0,0,0,0,0
0,0,0,0,15,0,0,15,50,0,10,0,0,0,0,0,0,0,0
0,5,0,5,10,0,0,10,50,0,0,0,0,0,0,0,0,0,0
1,0,0,0,10,1,0,15,70,5,0,0,0,0,0,0,0,0,0
0,10,0,0,20,5,0,15,25,0,0,0,0,0,0,0,0,0,2
0,3,0,0,10,0,0,10,50,15,12,0,0,0,0,0,0,0,0
0,7,0,1,0,1,0,85,0,8,100,5,0,0,0,0,0,0,0
0,0,0,29,0,0,0,18,0,23,100,9,0,3,0,0,0,0,5
0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,12,0,0,20
0,5,0,0,0,0,0,20,0,0,0,6,0,0,0,0,0,0,0
0,3,0,0,0,0,0,4,0,1,0,8,0,4,0,0,0,0,3
1,3,0,0,30,0,0,30,0,2,10,8,0,0,0,0,0,0,0
0,6,0,0,0,0,0,15,0,2,10,5,0,0,0,0,0,0,0
0,20,0,4,30,0,0,15,0,3,5,10,0,6,0,0,0,0,0
0,15,0,15,10,0,0,25,10,0,5,0,3,0,0,0,0,0,15
0.5,0,0,20,0,0,0,48,0,2,30,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,22,0,0,60
2,0,0,0,20,4,0,15,0,10,15,0,0,0,0,0,0,0,8
0,0,0,0,2,7,0,0.5,0,0,0,0,0,0,0,0,0,0,2
0,2,0,12,0,25,0,0,0,3,70,6,0,0,0,0,0,0,5
3,2,0,21,0,6,0,31,0,12,100,3,0,4,0,0,0,0,0
0,0,0,18,0,2,0,30,0,18,25,6,0,4,0,0,0,0,0
0,0,0,24,30,2,0,2,30,0,0,0,0,2,0,3,0,0,0
0,0,0,6,0,0,0,0,20,12,15,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,30
0,0,0,0,1,0,0,8,0,0.5,0,7,0,0,0,4,0,0,18
0,20,0,12,0,2,0,62,0,0,0,0,0,0,0,5,0,0,2
0,8,0,15,20,0,0,5,0,6,10,8,0,0,0,0,0,0,0
15,20,0,10,20,0,0,10,10,4,15,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,3,0,1,0,8,0,0,0,0,0,0,0
0,0,0,20,20,0,0,10,0,1,16,6,0,6,0,10,0,0,1
2,3,0,0,15,15,0,30,0,20,0,0,0,20,0,10,0,0,0
4,3,0,20,10,15,0,8,6,15,0,0,1,10,0,0,0,0,0
2,0,0,0,0,0,0,10,0,1,15,0,0,8,0,10,0,0,0
0,2,0,0,0,2,0,8,5,0.5,0,1,0,4,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,10
